onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.0859375,68,55,1,0,n0,-10.0,-10.0
0.87369794,0.13671875,70,52,1,0,n1,-10.0,-10.0
1.0208334,0.13802083,68,65,1,0,n2,0.873698,2.0
1.1809896,0.1171875,66,66,1,0,n3,0.873698,2.0
1.34375,0.09375,68,74,1,0,n4,0.873698,2.0
1.5143229,0.0546875,77,82,1,0,n5,0.873698,2.0
1.8580729,0.07421875,73,79,1,0,n6,1.514323,3.0
2.2304688,0.35546875,68,72,1,0,n7,1.514323,3.0
2.5898438,0.123697914,66,65,1,0,n8,2.230469,4.0
2.7252605,0.096354164,65,71,1,0,n9,2.230469,4.0
2.8854167,0.0703125,66,75,1,0,n10,2.230469,4.0
3.2226562,0.092447914,75,70,1,0,n11,2.885417,5.0
3.5572917,0.076822914,65,68,1,0,n12,2.885417,5.0
3.8815105,0.053385418,73,56,1,0,n13,3.557292,6.0
4.190104,0.09765625,63,62,1,0,n14,4.190104,7.0
4.5403647,0.0703125,72,61,1,0,n15,4.190104,7.0
4.8710938,0.084635414,61,58,1,0,n16,4.190104,7.0
5.205729,0.13932292,73,63,1,0,n17,4.871094,8.0
5.361979,0.13151042,72,64,1,0,n18,4.871094,8.0
5.5208335,0.14192708,73,65,1,0,n19,5.520833,9.0
5.6679688,0.118489586,75,70,1,0,n20,5.520833,9.0
5.8333335,0.040364582,61,59,1,0,n21,5.520833,9.0
5.8346353,0.15104167,77,60,1,0,n22,5.520833,9.0
5.997396,0.15755208,78,62,1,0,n23,5.520833,9.0
6.1614585,0.17057292,80,67,1,0,n24,5.520833,9.0
6.171875,0.13020833,65,58,1,0,n25,6.166666,10.0
6.3229165,0.14973958,63,67,1,0,n26,6.166666,10.0
6.325521,0.14583333,79,70,1,0,n27,6.166666,10.0
6.4830728,0.14192708,77,74,1,0,n28,6.166666,10.0
6.4856772,0.13932292,61,71,1,0,n29,6.166666,10.0
6.622396,0.09765625,63,76,1,0,n30,6.166666,10.0
6.627604,0.16276042,79,73,1,0,n31,6.166666,10.0
6.7890625,0.06640625,72,80,1,0,n32,6.166666,10.0
6.7955728,0.15755208,80,78,1,0,n33,6.792317,11.0
6.9466147,0.14322917,78,81,1,0,n34,6.792317,11.0
7.106771,0.041666668,68,80,1,0,n35,6.792317,11.0
7.109375,0.15885417,77,72,1,0,n36,6.792317,11.0
7.2734375,0.17447917,75,69,1,0,n37,6.792317,11.0
7.4440103,0.8541667,77,78,1,0,n38,6.792317,11.0
7.4453125,0.33333334,63,72,1,0,n39,7.444661,12.0
7.7929688,0.12760417,61,66,1,0,n40,7.444661,12.0
7.9427085,0.12109375,60,70,1,0,n41,7.444661,12.0
8.104167,0.044270832,61,77,1,0,n42,8.104167,13.0
8.2682295,0.1640625,75,73,1,0,n43,8.104167,13.0
8.430989,0.1484375,73,71,1,0,n44,8.104167,13.0
8.433594,0.046875,70,73,1,0,n45,8.104167,13.0
8.583333,0.16015625,77,75,1,0,n46,8.104167,13.0
8.7421875,0.14713542,75,74,1,0,n47,8.104167,13.0
8.748698,0.05078125,60,65,1,0,n48,8.745443,14.0
8.884114,0.15625,73,74,1,0,n49,8.745443,14.0
9.057292,0.12630208,72,67,1,0,n50,8.745443,14.0
9.0651045,0.046875,68,64,1,0,n51,8.745443,14.0
9.201823,0.15885417,75,70,1,0,n52,8.745443,14.0
9.3619795,0.05859375,58,58,1,0,n53,8.745443,14.0
9.371094,0.122395836,73,65,1,0,n54,9.366536,15.0
9.524739,0.140625,72,62,1,0,n55,9.366536,15.0
9.670573,0.13802083,73,65,1,0,n56,9.366536,15.0
9.678386,0.048177082,67,56,1,0,n57,9.366536,15.0
9.8255205,0.049479168,70,59,1,0,n58,9.366536,15.0
9.958333,0.18229167,56,44,1,0,n59,9.366536,15.0
9.9869795,0.07421875,70,61,1,0,n60,9.972656,16.0
10.126302,0.0625,72,68,1,0,n61,9.972656,16.0
10.298177,0.04296875,68,65,1,0,n62,9.972656,16.0
10.298177,0.122395836,75,73,1,0,n63,9.972656,16.0
10.447917,0.110677086,67,71,1,0,n64,9.972656,16.0
10.59375,1.0429688,78,81,1,0,n65,9.972656,16.0
10.602864,0.040364582,68,68,1,0,n66,10.598308,17.0
10.753906,0.104166664,70,64,1,0,n67,10.598308,17.0
10.907552,0.052083332,56,73,1,0,n68,10.598308,17.0
10.910156,0.13151042,72,69,1,0,n69,10.598308,17.0
11.069011,0.118489586,68,69,1,0,n70,10.598308,17.0
11.229167,0.15494792,58,78,1,0,n71,10.598308,17.0
11.244792,0.12630208,73,67,1,0,n72,11.23698,18.0
